id,filepath,label,split
phish_0000,phishing_eml/phish_0000.eml,phish,test
phish_0001,phishing_eml/phish_0001.eml,phish,test
phish_0002,phishing_eml/phish_0002.eml,phish,test
phish_0003,phishing_eml/phish_0003.eml,phish,test
phish_0004,phishing_eml/phish_0004.eml,phish,test
phish_0005,phishing_eml/phish_0005.eml,phish,test
phish_0006,phishing_eml/phish_0006.eml,phish,test
phish_0007,phishing_eml/phish_0007.eml,phish,test
phish_0008,phishing_eml/phish_0008.eml,phish,test
phish_0009,phishing_eml/phish_0009.eml,phish,test
phish_0010,phishing_eml/phish_0010.eml,phish,test
phish_0011,phishing_eml/phish_0011.eml,phish,test
phish_0012,phishing_eml/phish_0012.eml,phish,test
phish_0013,phishing_eml/phish_0013.eml,phish,test
phish_0014,phishing_eml/phish_0014.eml,phish,test
phish_0015,phishing_eml/phish_0015.eml,phish,test
phish_0016,phishing_eml/phish_0016.eml,phish,test
phish_0017,phishing_eml/phish_0017.eml,phish,test
phish_0018,phishing_eml/phish_0018.eml,phish,test
phish_0019,phishing_eml/phish_0019.eml,phish,test
phish_0020,phishing_eml/phish_0020.eml,phish,test
phish_0021,phishing_eml/phish_0021.eml,phish,test
phish_0022,phishing_eml/phish_0022.eml,phish,test
phish_0023,phishing_eml/phish_0023.eml,phish,test
phish_0024,phishing_eml/phish_0024.eml,phish,test
phish_0025,phishing_eml/phish_0025.eml,phish,test
phish_0026,phishing_eml/phish_0026.eml,phish,test
phish_0027,phishing_eml/phish_0027.eml,phish,test
phish_0028,phishing_eml/phish_0028.eml,phish,test
phish_0029,phishing_eml/phish_0029.eml,phish,test
phish_0030,phishing_eml/phish_0030.eml,phish,test
phish_0031,phishing_eml/phish_0031.eml,phish,test
phish_0032,phishing_eml/phish_0032.eml,phish,test
phish_0033,phishing_eml/phish_0033.eml,phish,test
phish_0034,phishing_eml/phish_0034.eml,phish,test
phish_0035,phishing_eml/phish_0035.eml,phish,test
phish_0036,phishing_eml/phish_0036.eml,phish,test
phish_0037,phishing_eml/phish_0037.eml,phish,test
phish_0038,phishing_eml/phish_0038.eml,phish,test
phish_0039,phishing_eml/phish_0039.eml,phish,test
phish_0040,phishing_eml/phish_0040.eml,phish,test
phish_0041,phishing_eml/phish_0041.eml,phish,test
phish_0042,phishing_eml/phish_0042.eml,phish,test
phish_0043,phishing_eml/phish_0043.eml,phish,test
phish_0044,phishing_eml/phish_0044.eml,phish,test
phish_0045,phishing_eml/phish_0045.eml,phish,test
phish_0046,phishing_eml/phish_0046.eml,phish,test
phish_0047,phishing_eml/phish_0047.eml,phish,test
phish_0048,phishing_eml/phish_0048.eml,phish,test
phish_0049,phishing_eml/phish_0049.eml,phish,test
phish_0050,phishing_eml/phish_0050.eml,phish,test
phish_0051,phishing_eml/phish_0051.eml,phish,test
phish_0052,phishing_eml/phish_0052.eml,phish,test
phish_0053,phishing_eml/phish_0053.eml,phish,test
phish_0054,phishing_eml/phish_0054.eml,phish,test
phish_0055,phishing_eml/phish_0055.eml,phish,test
phish_0056,phishing_eml/phish_0056.eml,phish,test
phish_0057,phishing_eml/phish_0057.eml,phish,test
phish_0058,phishing_eml/phish_0058.eml,phish,test
phish_0059,phishing_eml/phish_0059.eml,phish,test
phish_0060,phishing_eml/phish_0060.eml,phish,test
phish_0061,phishing_eml/phish_0061.eml,phish,test
phish_0062,phishing_eml/phish_0062.eml,phish,test
phish_0063,phishing_eml/phish_0063.eml,phish,test
phish_0064,phishing_eml/phish_0064.eml,phish,test
phish_0065,phishing_eml/phish_0065.eml,phish,test
phish_0066,phishing_eml/phish_0066.eml,phish,test
phish_0067,phishing_eml/phish_0067.eml,phish,test
phish_0068,phishing_eml/phish_0068.eml,phish,test
phish_0069,phishing_eml/phish_0069.eml,phish,test
phish_0070,phishing_eml/phish_0070.eml,phish,test
phish_0071,phishing_eml/phish_0071.eml,phish,test
phish_0072,phishing_eml/phish_0072.eml,phish,test
phish_0073,phishing_eml/phish_0073.eml,phish,test
phish_0074,phishing_eml/phish_0074.eml,phish,test
phish_0075,phishing_eml/phish_0075.eml,phish,test
phish_0076,phishing_eml/phish_0076.eml,phish,test
phish_0077,phishing_eml/phish_0077.eml,phish,test
phish_0078,phishing_eml/phish_0078.eml,phish,test
phish_0079,phishing_eml/phish_0079.eml,phish,test
phish_0080,phishing_eml/phish_0080.eml,phish,test
phish_0081,phishing_eml/phish_0081.eml,phish,test
phish_0082,phishing_eml/phish_0082.eml,phish,test
phish_0083,phishing_eml/phish_0083.eml,phish,test
phish_0084,phishing_eml/phish_0084.eml,phish,test
phish_0085,phishing_eml/phish_0085.eml,phish,test
phish_0086,phishing_eml/phish_0086.eml,phish,test
phish_0087,phishing_eml/phish_0087.eml,phish,test
phish_0088,phishing_eml/phish_0088.eml,phish,test
phish_0089,phishing_eml/phish_0089.eml,phish,test
phish_0090,phishing_eml/phish_0090.eml,phish,test
phish_0091,phishing_eml/phish_0091.eml,phish,test
phish_0092,phishing_eml/phish_0092.eml,phish,test
phish_0093,phishing_eml/phish_0093.eml,phish,test
phish_0094,phishing_eml/phish_0094.eml,phish,test
phish_0095,phishing_eml/phish_0095.eml,phish,test
phish_0096,phishing_eml/phish_0096.eml,phish,test
phish_0097,phishing_eml/phish_0097.eml,phish,test
phish_0098,phishing_eml/phish_0098.eml,phish,test
phish_0099,phishing_eml/phish_0099.eml,phish,test
phish_0100,phishing_eml/phish_0100.eml,phish,test
phish_0101,phishing_eml/phish_0101.eml,phish,test
phish_0102,phishing_eml/phish_0102.eml,phish,test
phish_0103,phishing_eml/phish_0103.eml,phish,test
phish_0104,phishing_eml/phish_0104.eml,phish,test
phish_0105,phishing_eml/phish_0105.eml,phish,test
phish_0106,phishing_eml/phish_0106.eml,phish,test
phish_0107,phishing_eml/phish_0107.eml,phish,test
phish_0108,phishing_eml/phish_0108.eml,phish,test
phish_0109,phishing_eml/phish_0109.eml,phish,test
phish_0110,phishing_eml/phish_0110.eml,phish,test
phish_0111,phishing_eml/phish_0111.eml,phish,test
phish_0112,phishing_eml/phish_0112.eml,phish,test
phish_0113,phishing_eml/phish_0113.eml,phish,test
phish_0114,phishing_eml/phish_0114.eml,phish,test
phish_0115,phishing_eml/phish_0115.eml,phish,test
phish_0116,phishing_eml/phish_0116.eml,phish,test
phish_0117,phishing_eml/phish_0117.eml,phish,test
phish_0118,phishing_eml/phish_0118.eml,phish,test
phish_0119,phishing_eml/phish_0119.eml,phish,test
phish_0120,phishing_eml/phish_0120.eml,phish,test
phish_0121,phishing_eml/phish_0121.eml,phish,test
phish_0122,phishing_eml/phish_0122.eml,phish,test
phish_0123,phishing_eml/phish_0123.eml,phish,test
phish_0124,phishing_eml/phish_0124.eml,phish,test
phish_0125,phishing_eml/phish_0125.eml,phish,test
phish_0126,phishing_eml/phish_0126.eml,phish,test
phish_0127,phishing_eml/phish_0127.eml,phish,test
phish_0128,phishing_eml/phish_0128.eml,phish,test
phish_0129,phishing_eml/phish_0129.eml,phish,test
phish_0130,phishing_eml/phish_0130.eml,phish,test
phish_0131,phishing_eml/phish_0131.eml,phish,test
phish_0132,phishing_eml/phish_0132.eml,phish,test
phish_0133,phishing_eml/phish_0133.eml,phish,test
phish_0134,phishing_eml/phish_0134.eml,phish,test
phish_0135,phishing_eml/phish_0135.eml,phish,test
phish_0136,phishing_eml/phish_0136.eml,phish,test
phish_0137,phishing_eml/phish_0137.eml,phish,test
phish_0138,phishing_eml/phish_0138.eml,phish,test
phish_0139,phishing_eml/phish_0139.eml,phish,test
phish_0140,phishing_eml/phish_0140.eml,phish,test
phish_0141,phishing_eml/phish_0141.eml,phish,test
phish_0142,phishing_eml/phish_0142.eml,phish,test
phish_0143,phishing_eml/phish_0143.eml,phish,test
phish_0144,phishing_eml/phish_0144.eml,phish,test
phish_0145,phishing_eml/phish_0145.eml,phish,test
phish_0146,phishing_eml/phish_0146.eml,phish,test
phish_0147,phishing_eml/phish_0147.eml,phish,test
phish_0148,phishing_eml/phish_0148.eml,phish,test
phish_0149,phishing_eml/phish_0149.eml,phish,test
benign_0000,benign_eml/benign_0000.eml,benign,test
benign_0001,benign_eml/benign_0001.eml,benign,test
benign_0002,benign_eml/benign_0002.eml,benign,test
benign_0003,benign_eml/benign_0003.eml,benign,test
benign_0004,benign_eml/benign_0004.eml,benign,test
benign_0005,benign_eml/benign_0005.eml,benign,test
benign_0006,benign_eml/benign_0006.eml,benign,test
benign_0007,benign_eml/benign_0007.eml,benign,test
benign_0008,benign_eml/benign_0008.eml,benign,test
benign_0009,benign_eml/benign_0009.eml,benign,test
benign_0010,benign_eml/benign_0010.eml,benign,test
benign_0011,benign_eml/benign_0011.eml,benign,test
benign_0012,benign_eml/benign_0012.eml,benign,test
benign_0013,benign_eml/benign_0013.eml,benign,test
benign_0014,benign_eml/benign_0014.eml,benign,test
benign_0015,benign_eml/benign_0015.eml,benign,test
benign_0016,benign_eml/benign_0016.eml,benign,test
benign_0017,benign_eml/benign_0017.eml,benign,test
benign_0018,benign_eml/benign_0018.eml,benign,test
benign_0019,benign_eml/benign_0019.eml,benign,test
benign_0020,benign_eml/benign_0020.eml,benign,test
benign_0021,benign_eml/benign_0021.eml,benign,test
benign_0022,benign_eml/benign_0022.eml,benign,test
benign_0023,benign_eml/benign_0023.eml,benign,test
benign_0024,benign_eml/benign_0024.eml,benign,test
benign_0025,benign_eml/benign_0025.eml,benign,test
benign_0026,benign_eml/benign_0026.eml,benign,test
benign_0027,benign_eml/benign_0027.eml,benign,test
benign_0028,benign_eml/benign_0028.eml,benign,test
benign_0029,benign_eml/benign_0029.eml,benign,test
benign_0030,benign_eml/benign_0030.eml,benign,test
benign_0031,benign_eml/benign_0031.eml,benign,test
benign_0032,benign_eml/benign_0032.eml,benign,test
benign_0033,benign_eml/benign_0033.eml,benign,test
benign_0034,benign_eml/benign_0034.eml,benign,test
benign_0035,benign_eml/benign_0035.eml,benign,test
benign_0036,benign_eml/benign_0036.eml,benign,test
benign_0037,benign_eml/benign_0037.eml,benign,test
benign_0038,benign_eml/benign_0038.eml,benign,test
benign_0039,benign_eml/benign_0039.eml,benign,test
benign_0040,benign_eml/benign_0040.eml,benign,test
benign_0041,benign_eml/benign_0041.eml,benign,test
benign_0042,benign_eml/benign_0042.eml,benign,test
benign_0043,benign_eml/benign_0043.eml,benign,test
benign_0044,benign_eml/benign_0044.eml,benign,test
benign_0045,benign_eml/benign_0045.eml,benign,test
benign_0046,benign_eml/benign_0046.eml,benign,test
benign_0047,benign_eml/benign_0047.eml,benign,test
benign_0048,benign_eml/benign_0048.eml,benign,test
benign_0049,benign_eml/benign_0049.eml,benign,test
benign_0050,benign_eml/benign_0050.eml,benign,test
benign_0051,benign_eml/benign_0051.eml,benign,test
benign_0052,benign_eml/benign_0052.eml,benign,test
benign_0053,benign_eml/benign_0053.eml,benign,test
benign_0054,benign_eml/benign_0054.eml,benign,test
benign_0055,benign_eml/benign_0055.eml,benign,test
benign_0056,benign_eml/benign_0056.eml,benign,test
benign_0057,benign_eml/benign_0057.eml,benign,test
benign_0058,benign_eml/benign_0058.eml,benign,test
benign_0059,benign_eml/benign_0059.eml,benign,test
benign_0060,benign_eml/benign_0060.eml,benign,test
benign_0061,benign_eml/benign_0061.eml,benign,test
benign_0062,benign_eml/benign_0062.eml,benign,test
benign_0063,benign_eml/benign_0063.eml,benign,test
benign_0064,benign_eml/benign_0064.eml,benign,test
benign_0065,benign_eml/benign_0065.eml,benign,test
benign_0066,benign_eml/benign_0066.eml,benign,test
benign_0067,benign_eml/benign_0067.eml,benign,test
benign_0068,benign_eml/benign_0068.eml,benign,test
benign_0069,benign_eml/benign_0069.eml,benign,test
benign_0070,benign_eml/benign_0070.eml,benign,test
benign_0071,benign_eml/benign_0071.eml,benign,test
benign_0072,benign_eml/benign_0072.eml,benign,test
benign_0073,benign_eml/benign_0073.eml,benign,test
benign_0074,benign_eml/benign_0074.eml,benign,test
benign_0075,benign_eml/benign_0075.eml,benign,test
benign_0076,benign_eml/benign_0076.eml,benign,test
benign_0077,benign_eml/benign_0077.eml,benign,test
benign_0078,benign_eml/benign_0078.eml,benign,test
benign_0079,benign_eml/benign_0079.eml,benign,test
benign_0080,benign_eml/benign_0080.eml,benign,test
benign_0081,benign_eml/benign_0081.eml,benign,test
benign_0082,benign_eml/benign_0082.eml,benign,test
benign_0083,benign_eml/benign_0083.eml,benign,test
benign_0084,benign_eml/benign_0084.eml,benign,test
benign_0085,benign_eml/benign_0085.eml,benign,test
benign_0086,benign_eml/benign_0086.eml,benign,test
benign_0087,benign_eml/benign_0087.eml,benign,test
benign_0088,benign_eml/benign_0088.eml,benign,test
benign_0089,benign_eml/benign_0089.eml,benign,test
benign_0090,benign_eml/benign_0090.eml,benign,test
benign_0091,benign_eml/benign_0091.eml,benign,test
benign_0092,benign_eml/benign_0092.eml,benign,test
benign_0093,benign_eml/benign_0093.eml,benign,test
benign_0094,benign_eml/benign_0094.eml,benign,test
benign_0095,benign_eml/benign_0095.eml,benign,test
benign_0096,benign_eml/benign_0096.eml,benign,test
benign_0097,benign_eml/benign_0097.eml,benign,test
benign_0098,benign_eml/benign_0098.eml,benign,test
benign_0099,benign_eml/benign_0099.eml,benign,test
benign_0100,benign_eml/benign_0100.eml,benign,test
benign_0101,benign_eml/benign_0101.eml,benign,test
benign_0102,benign_eml/benign_0102.eml,benign,test
benign_0103,benign_eml/benign_0103.eml,benign,test
benign_0104,benign_eml/benign_0104.eml,benign,test
benign_0105,benign_eml/benign_0105.eml,benign,test
benign_0106,benign_eml/benign_0106.eml,benign,test
benign_0107,benign_eml/benign_0107.eml,benign,test
benign_0108,benign_eml/benign_0108.eml,benign,test
benign_0109,benign_eml/benign_0109.eml,benign,test
benign_0110,benign_eml/benign_0110.eml,benign,test
benign_0111,benign_eml/benign_0111.eml,benign,test
benign_0112,benign_eml/benign_0112.eml,benign,test
benign_0113,benign_eml/benign_0113.eml,benign,test
benign_0114,benign_eml/benign_0114.eml,benign,test
benign_0115,benign_eml/benign_0115.eml,benign,test
benign_0116,benign_eml/benign_0116.eml,benign,test
benign_0117,benign_eml/benign_0117.eml,benign,test
benign_0118,benign_eml/benign_0118.eml,benign,test
benign_0119,benign_eml/benign_0119.eml,benign,test
benign_0120,benign_eml/benign_0120.eml,benign,test
benign_0121,benign_eml/benign_0121.eml,benign,test
benign_0122,benign_eml/benign_0122.eml,benign,test
benign_0123,benign_eml/benign_0123.eml,benign,test
benign_0124,benign_eml/benign_0124.eml,benign,test
benign_0125,benign_eml/benign_0125.eml,benign,test
benign_0126,benign_eml/benign_0126.eml,benign,test
benign_0127,benign_eml/benign_0127.eml,benign,test
benign_0128,benign_eml/benign_0128.eml,benign,test
benign_0129,benign_eml/benign_0129.eml,benign,test
benign_0130,benign_eml/benign_0130.eml,benign,test
benign_0131,benign_eml/benign_0131.eml,benign,test
benign_0132,benign_eml/benign_0132.eml,benign,test
benign_0133,benign_eml/benign_0133.eml,benign,test
benign_0134,benign_eml/benign_0134.eml,benign,test
benign_0135,benign_eml/benign_0135.eml,benign,test
benign_0136,benign_eml/benign_0136.eml,benign,test
benign_0137,benign_eml/benign_0137.eml,benign,test
benign_0138,benign_eml/benign_0138.eml,benign,test
benign_0139,benign_eml/benign_0139.eml,benign,test
benign_0140,benign_eml/benign_0140.eml,benign,test
benign_0141,benign_eml/benign_0141.eml,benign,test
benign_0142,benign_eml/benign_0142.eml,benign,test
benign_0143,benign_eml/benign_0143.eml,benign,test
benign_0144,benign_eml/benign_0144.eml,benign,test
benign_0145,benign_eml/benign_0145.eml,benign,test
benign_0146,benign_eml/benign_0146.eml,benign,test
benign_0147,benign_eml/benign_0147.eml,benign,test
benign_0148,benign_eml/benign_0148.eml,benign,test
benign_0149,benign_eml/benign_0149.eml,benign,test
